tipo_estacion,estacion,ciudad,latitud,longitud
Estación de carga eléctrica EPM,Aeropuerto,Rionegro,6.17938,-75.442241
Estación de carga eléctrica EPM,Éxito Poblado,Medellín,6.21194987,-75.57404774
Estación de carga eléctrica EPM,Éxito Poblado,Medellín,6.21194987,-75.57404774
Estación de carga eléctrica EPM,Exposiciones,Medellín,6.237474,-75.57521
Estación de carga eléctrica EPM,EDS Texaco Vegas,Envigado,6.17900319,-75.58839136
Estación de carga eléctrica EPM,1er Parque Laureles,Medellín,6.2456493,-75.5932793
Estación de carga eléctrica EPM,1er Parque Laureles,Medellín,6.2456493,-75.5932793
Estación de carga eléctrica EPM,CC Los Molinos,Medellín,6.23199997,-75.60442682
Estación de carga eléctrica EPM,CC Los Molinos,Medellín,6.23199997,-75.60442682
Estación de carga eléctrica EPM,CC Mayorca,Sabaneta,6.160704,-75.604596
Estación de carga eléctrica EPM,CC Mayorca,Sabaneta,6.160704,-75.604596
Estación de carga eléctrica EPM,Milla de Oro,Medellín,6.19929518,-75.57225902
Estación de carga eléctrica EPM,Milla de Oro,Medellín,6.19929518,-75.57225902
Estación de carga eléctrica EPM,EDS Consolata - Nutibara,Medellín,6.24805414,-75.59813799
Estación de carga eléctrica EPM,Plaza Mayor,Medellín,6.24262272,-75.57617529
Estación de carga eléctrica EPM,Plaza Mayor,Medellín,6.24262272,-75.57617529
Estación de carga eléctrica EPM,CC Puerta del Norte,Bello,6.34033635,-75.54240445
Estación de carga eléctrica EPM,CC Puerta del Norte,Bello,6.34033635,-75.54240445
Estación de carga eléctrica EPM,EDS Santa María - Sabaneta,Sabaneta,6.15343,-75.61927444
Estación de carga eléctrica EPM,CC Santa Fé,Medellín,6.19638224,-75.57439339
Estación de carga eléctrica EPM,CC Santa Fé,Medellín,6.19638224,-75.57439339
Estación de carga eléctrica EPM,CC El Tesoro,Medellín,6.19669812,-75.55892548
Estación de carga eléctrica EPM,CC El Tesoro,Medellín,6.19669812,-75.55892548
Estación de carga eléctrica EPM,CC Unicentro,Medellín,6.24171224,-75.58784611
Estación de carga eléctrica EPM,CC Unicentro,Medellín,6.24171224,-75.58784611
Estación de carga eléctrica EPM,Viva Palmas,Envigado,6.15293469,-75.54097876
Estación de carga eléctrica EPM,Viva Palmas,Envigado,6.15293469,-75.54097876
Estación de carga eléctrica EPM,CC La Florida,Medellín,6.27227632,-75.5799424
Estación de carga eléctrica EPM,CC La Florida,Medellín,6.27227632,-75.5799424
Estación de carga eléctrica EPM,Sao Paulo,Medellín,6.184873,-75.5799111
Estación de carga eléctrica EPM,Sao Paulo,Medellín,6.184873,-75.5799111
Estación de carga eléctrica EPM,La Pintada,La Pintada,5.74153784,-75.60598521
Estación de carga eléctrica EPM,Los Alamos,Medellín,6.2629722,-75.566689
Estación de carga eléctrica EPM,La Fe,El Retiro,6.0903158,75.49305705
Estación de carga eléctrica EPM,La Fe,El Retiro,6.0903158,75.49305705
Estación de carga eléctrica EPM,MAMM Ciudad del Rio,Medellín,6.224001,-75.574044
Estación de carga eléctrica EPM,MAMM Ciudad del Rio,Medellín,6.224001,-75.574044
Estación de carga eléctrica EPM,Oviedo,Medellín,6.1990798,-75.5740589
Estación de carga eléctrica EPM,Oviedo,Medellín,6.1990798,-75.5740589
Estación de carga eléctrica EPM,Tesoro 2,Medellín,6.19669812,-75.55892548
Estación de carga eléctrica EPM,Tesoro 2,Medellín,6.19669812,-75.55892548
Estación de carga eléctrica EPM,Nuestro Urabá,Aparatadó,7.8740168,-76.6350745
Estación de carga eléctrica EPM,Nuestro Urabá,Aparatadó,7.8740168,-76.6350745
Estación de gas natural vehicular,Caribe,Medellín,6.27225,-75.57275
Estación de gas natural vehicular,El Bosque,Medellín,6.27346,-75.56461
Estación de gas natural vehicular,Punto Cero,Medellín,6.26913,-75.57545
Estación de gas natural vehicular,Exposiciones,Medellín,6.23825,-75.57453
Estación de gas natural vehicular,Bolivariana,Medellín,6.23937,-75.58659
Estación de gas natural vehicular,La 30,Medellín,6.2324,-75.58206
Estación de gas natural vehicular,Belén,Medellín,6.23186,-75.59094
Estación de gas natural vehicular,Mayorca,Sabaneta,6.15896,-75.60821
Estación de gas natural vehicular,Aeropuerto JMC,Rionegro,6.17926,-75.44218
Estación de gas natural vehicular,Navarra,Apartadó,7.86733,-76.63592
Estación de gas natural vehicular,Tasajera,Barbosa,6.40871,-75.41951
Estación de gas natural vehicular,Universidad de Medellín,Medellín,6.2311,-75.60859
