anio,codigo_depto,departamento,pib_const_2015_miles_mm
2005,91,AMAZONAS,169.35
2005,05,ANTIOQUIA,44788.23
2005,81,ARAUCA,4174.21
2005,08,ATLÁNTICO,10567.70
2005,11,BOGOTÁ D.C.,70514.66
2005,13,BOLÍVAR,10065.25
2005,15,BOYACÁ,6992.28
2005,17,CALDAS,4974.51
2005,18,CAQUETÁ,916.65
2005,85,CASANARE,7462.73
2005,19,CAUCA,4704.91
2005,20,CESAR,5996.15
2005,27,CHOCÓ,1324.23
2005,25,CUNDINAMARCA,18182.27
2005,23,CÓRDOBA,4789.90
2005,94,GUAINÍA,105.58
2005,95,GUAVIARE,256.95
2005,41,HUILA,5726.34
2005,44,LA GUAJIRA,4119.48
2005,47,MAGDALENA,3453.59
2005,50,META,6339.32
2005,52,NARIÑO,3863.90
2005,54,NORTE DE SANTANDER,3941.71
2005,86,PUTUMAYO,852.96
2005,63,QUINDÍO,2191.70
2005,66,RISARALDA,4803.39
2005,88,"SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",170.12
2005,68,SANTANDER,23513.68
2005,70,SUCRE,1794.93
2005,73,TOLIMA,7362.31
2005,76,VALLE DEL CAUCA,29123.09
2005,97,VAUPÉS,33.91
2005,99,VICHADA,231.08
2006,91,AMAZONAS,154.32
2006,05,ANTIOQUIA,47637.70
2006,81,ARAUCA,4165.81
2006,08,ATLÁNTICO,11827.22
2006,11,BOGOTÁ D.C.,75885.83
2006,13,BOLÍVAR,10746.78
2006,15,BOYACÁ,7095.74
2006,17,CALDAS,5650.05
2006,18,CAQUETÁ,1003.91
2006,85,CASANARE,6928.74
2006,19,CAUCA,5095.69
2006,20,CESAR,6505.92
2006,27,CHOCÓ,1346.48
2006,25,CUNDINAMARCA,18688.10
2006,23,CÓRDOBA,5067.78
2006,94,GUAINÍA,101.12
2006,95,GUAVIARE,258.76
2006,41,HUILA,5808.54
2006,44,LA GUAJIRA,4422.32
2006,47,MAGDALENA,3379.11
2006,50,META,7284.99
2006,52,NARIÑO,4253.60
2006,54,NORTE DE SANTANDER,4521.16
2006,86,PUTUMAYO,934.99
2006,63,QUINDÍO,2521.21
2006,66,RISARALDA,5279.97
2006,88,"SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",181.82
2006,68,SANTANDER,24987.92
2006,70,SUCRE,2093.19
2006,73,TOLIMA,7722.08
2006,76,VALLE DEL CAUCA,31959.91
2006,97,VAUPÉS,45.57
2006,99,VICHADA,236.75
2007,91,AMAZONAS,159.24
2007,05,ANTIOQUIA,50458.83
2007,81,ARAUCA,4508.94
2007,08,ATLÁNTICO,13595.19
2007,11,BOGOTÁ D.C.,80647.66
2007,13,BOLÍVAR,11841.30
2007,15,BOYACÁ,8480.30
2007,17,CALDAS,5907.08
2007,18,CAQUETÁ,1078.37
2007,85,CASANARE,6453.38
2007,19,CAUCA,5203.83
2007,20,CESAR,6927.56
2007,27,CHOCÓ,1382.14
2007,25,CUNDINAMARCA,14957.14
2007,23,CÓRDOBA,5710.31
2007,94,GUAINÍA,117.45
2007,95,GUAVIARE,277.89
2007,41,HUILA,6104.16
2007,44,LA GUAJIRA,4789.10
